rank,name,country_name,country_id,active,dob,totalPoints,tournamentPoints,rankingPoints,achievementsPoints,tGPoints,tFLPoints,tMPoints,tOPoints,tABPoints,tDTPoints,yearEndRankPoints,bestRankPoints,weeksAtNo1Points,weeksAtEloTopNPoints,bestEloRatingPoints,grandSlamPoints,bigWinsPoints,h2hPoints,recordsPoints,bestSeasonPoints,greatestRivalriesPoints,performancePoints,statisticsPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,bestEloRating,bestEloRatingDate,wonPct
124,Thomas Johansson,Sweden,SWE,false,1975-03-24,25,24,0,1,12,0,5,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,9,0,357-296,2136,2002-02-15,54.7%
124,Mark Cox,United Kingdom,GBR,false,1943-07-05,25,24,0,1,1,0,8,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,14,0,397-274,2132,1977-03-28,59.2%
124,Kevin Curren,United States,USA,false,1958-03-02,25,23,1,1,11,1,5,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,339-234,2162,1985-07-08,59.2%
127,Mark Edmondson,Australia,AUS,false,1954-06-24,24,23,0,1,14,0,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,6,0,259-244,2050,1982-07-05,51.5%
127,Felix Mantilla,Spain,ESP,false,1974-09-23,24,24,0,0,3,0,9,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,313-218,2133,1997-09-15,58.9%
127,Vijay Amritraj,India,IND,false,1953-12-14,24,24,0,0,4,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,411-315,2124,1980-12-16,56.6%
127,Victor Pecci,Paraguay,PAR,false,1955-10-15,24,23,0,1,6,0,6,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,368-251,2181,1981-06-08,59.5%
127,Tomas Smid,Czech Republic,CZE,false,1956-05-20,24,24,0,0,2,0,5,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,522-335,2133,1984-03-12,60.9%
127,Magnus Larsson,Sweden,SWE,false,1970-03-25,24,23,0,1,5,4,2,0,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,7,0,310-221,2188,1995-04-07,58.4%
133,Brian Teacher,United States,USA,false,1954-12-23,23,23,0,0,10,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,335-235,2133,1981-01-09,58.8%
133,Guillermo Canas,Argentina,ARG,false,1977-11-25,23,23,0,0,3,0,8,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,252-195,2113,2007-04-30,56.4%
133,Nicolas Almagro,Spain,ESP,false,1985-08-21,23,23,0,0,4,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,397-278,2160,2012-09-21,58.8%
133,Zeljko Franulovic,Croatia,CRO,false,1947-06-13,23,23,0,0,7,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,412-309,2126,1971-03-08,57.1%
133,Clark Graebner,United States,USA,false,1943-11-04,23,23,0,0,7,1,2,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,310-154,2147,1968-09-21,66.8%
133,Feliciano Lopez,Spain,ESP,true,1981-09-20,23,22,0,1,4,0,4,0,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,495-457,2074,2014-10-12,52.0%
133,Fernando Verdasco,Spain,ESP,true,1983-11-15,23,22,0,1,5,0,3,0,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,552-423,2204,2010-05-02,56.6%
133,Mardy Fish,United States,USA,false,1981-12-09,23,22,0,1,3,0,10,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,302-219,2169,2011-10-10,58.0%
141,Sandy Mayer,United States,USA,false,1952-04-05,22,22,0,0,4,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,370-199,2178,1978-04-03,65.0%
141,Robert Lutz,United States,USA,false,1947-08-29,22,22,0,0,3,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,450-296,2134,1971-10-25,60.3%
143,Roger Taylor,United Kingdom,GBR,false,1941-10-14,21,21,0,0,7,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,369-294,2118,1973-07-16,55.7%
143,Ivo Karlovic,Croatia,CRO,true,1979-02-28,21,12,2,7,1,0,1,0,9,1,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,370-343,2061,2007-11-04,51.9%
143,Roy Emerson,Australia,AUS,false,1936-11-03,21,18,2,1,4,0,5,0,9,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,269-165,2225,1968-04-24,62.0%
146,Karel Novacek,Czech Republic,CZE,false,1965-03-30,20,20,0,0,4,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,0,299-246,2109,1991-08-12,54.9%
146,Martin Jaite,Argentina,ARG,false,1964-10-09,20,20,0,0,1,0,5,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,301-179,2125,1990-02-12,62.7%
146,Jiri Novak,Czech Republic,CZE,false,1975-03-22,20,19,1,0,2,1,6,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,337-260,2112,2002-10-21,56.4%
146,Dennis Ralston,United States,USA,false,1942-07-27,20,18,1,1,5,0,3,0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,152-128,2242,1968-06-07,54.3%
146,Earl Butch Buchholz,United States,USA,false,1940-09-16,20,18,1,1,3,0,4,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,95-78,2226,1968-05-17,54.9%
146,Radek Stepanek,Czech Republic,CZE,false,1978-11-27,20,20,0,0,1,0,8,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,384-302,2136,2009-11-15,56.0%
152,Roberto Bautista Agut,Spain,ESP,true,1988-04-14,19,19,0,0,3,0,4,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,311-185,2135,2016-10-17,62.7%
152,Andrey Rublev,Russian Federation,RUS,true,1997-10-20,19,19,0,0,4,1,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,139-86,2227,2021-03-08,61.8%
152,Rainer Schuettler,Germany,GER,false,1976-04-25,19,18,1,0,6,2,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,327-337,2123,2003-10-13,49.2%
155,Fabio Fognini,Italy,ITA,true,1987-05-24,18,18,0,0,1,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0,369-318,2112,2014-04-20,53.7%
155,Jaime Fillol,Chile,CHI,false,1946-06-03,18,18,0,0,1,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,523-362,2145,1975-10-20,59.1%
155,Dominik Hrbaty,Slovakia,SVK,false,1978-01-04,18,18,0,0,5,0,4,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,359-318,2085,2001-01-29,53.0%
155,Peter Mcnamara,Australia,AUS,false,1955-07-05,18,17,0,1,5,0,2,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,204-136,2168,1981-07-20,60.0%
159,Sam Querrey,United States,USA,true,1987-10-07,17,17,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,374-305,2068,2013-04-12,55.1%
159,Guillermo Perez Roldan,Argentina,ARG,false,1969-10-20,17,14,0,3,1,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,241-137,2057,1989-06-12,63.8%
159,Sjeng Schalken,Netherlands,NED,false,1976-09-08,17,17,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,292-267,2085,2003-09-26,52.2%
159,Karol Kucera,Slovakia,SVK,false,1974-03-04,17,17,0,0,4,1,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,293-244,2125,1998-10-19,54.6%
159,Nikola Pilic,Croatia,CRO,false,1939-08-27,17,17,0,0,5,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,302-249,2143,1968-04-04,54.8%
159,Malivai Washington,United States,USA,false,1969-06-20,17,17,0,0,5,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,251-183,2071,1992-10-26,57.8%
159,Matteo Berrettini,Italy,ITA,true,1996-04-12,17,7,0,10,2,1,1,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,79-53,2102,2019-10-28,59.8%
166,Alberto Mancini,Argentina,ARG,false,1969-05-20,16,15,0,1,1,0,12,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,3,0,148-125,2092,1989-06-12,54.2%
166,Fred Stolle,Australia,AUS,false,1938-10-08,16,15,0,1,4,0,8,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,0,173-166,2178,1969-06-30,51.0%
166,Mikael Pernfors,Sweden,SWE,false,1963-07-16,16,16,0,0,5,1,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,140-114,2065,1988-10-10,55.1%
166,Nick Kyrgios,Australia,AUS,true,1995-04-27,16,16,0,0,2,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,164-94,2176,2017-05-15,63.6%
166,Onny Parun,New Zealand,NZL,false,1947-04-15,16,16,0,0,8,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,377-344,2097,1975-06-18,52.3%
166,Phil Dent,Australia,AUS,false,1950-02-14,16,16,0,0,10,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,397-345,2075,1977-08-23,53.5%
172,Balazs Taroczy,Hungary,HUN,false,1954-05-09,15,15,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,429-239,2124,1981-06-19,64.2%
172,Juan Monaco,Argentina,ARG,false,1984-03-29,15,15,0,0,0,0,2,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,341-271,2125,2012-07-23,55.7%
172,Corrado Barazzutti,Italy,ITA,false,1953-02-19,15,15,0,0,5,1,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,333-231,2142,1978-08-28,59.0%
172,Jimmy Arias,United States,USA,false,1964-08-16,15,14,1,0,3,1,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,286-223,2157,1983-09-19,56.2%
172,Jonas Svensson,Sweden,SWE,false,1966-10-21,15,15,0,0,5,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,258-204,2084,1990-11-05,55.8%
172,Lucas Pouille,France,FRA,true,1994-02-23,15,14,0,1,4,0,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,131-109,2069,2017-05-01,54.6%
172,Nicolas Lapentti,Ecuador,ECU,false,1976-08-13,15,15,0,0,3,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,322-298,2108,1999-11-08,51.9%
172,Marcos Baghdatis,Cyprus,CYP,false,1985-06-17,15,15,0,0,7,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,349-273,2098,2007-11-04,56.1%
172,David Wheaton,United States,USA,false,1969-06-02,15,14,0,1,4,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,0,232-191,2121,1992-01-13,54.8%
181,Bill Scanlon,United States,USA,false,1956-11-13,14,14,0,0,4,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,300-259,2122,1983-09-13,53.7%
181,Juan Ignacio Chela,Argentina,ARG,false,1979-08-30,14,14,0,0,3,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,326-277,2049,2007-05-21,54.1%
181,Nicolas Massu,Chile,CHI,false,1979-10-10,14,13,0,1,0,0,2,3,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,0,257-238,2053,2003-10-20,51.9%
181,Ray Ruffels,Australia,AUS,false,1946-03-23,14,14,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,219-200,2012,1972-02-13,52.3%
181,Diego Sebastian Schwartzman,Argentina,ARG,true,1992-08-16,14,14,0,0,5,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,176-145,2097,2020-11-09,54.8%
186,Amos Mansdorf,Israel,ISR,false,1965-10-20,13,13,0,0,1,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,306-233,2057,1993-07-26,56.8%
186,Ross Case,Australia,AUS,false,1951-11-01,13,13,0,0,4,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,276-275,2070,1976-04-27,50.1%
186,Bob Hewitt,South Africa,RSA,false,1940-01-12,13,13,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,264-169,2132,1970-07-06,61.0%
186,Kent Carlsson,Sweden,SWE,false,1968-01-03,13,13,0,0,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,160-54,2213,1988-09-19,74.8%
186,Jakob Hlasek,Switzerland,SUI,false,1964-11-12,13,13,0,0,1,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,438-333,2184,1989-02-13,56.8%
186,Pablo Carreno Busta,Spain,ESP,true,1991-07-12,13,13,0,0,6,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,196-168,2075,2020-11-09,53.8%
192,Jaime Yzaga,Peru,PER,false,1967-10-23,12,12,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,266-224,2022,1992-04-20,54.3%
192,Carlos Costa,Spain,ESP,false,1968-04-22,12,12,0,0,0,0,3,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,248-208,2075,1992-06-08,54.4%
192,Henrik Sundstrom,Sweden,SWE,false,1964-02-29,12,12,0,0,1,0,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,154-108,2121,1985-06-10,58.8%
192,Janko Tipsarevic,Serbia,SRB,false,1984-06-22,12,12,0,0,2,1,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,288-258,2158,2012-08-13,52.7%
192,Nicolas Escude,France,FRA,false,1976-04-03,12,12,0,0,4,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,172-129,2091,2002-02-25,57.1%
192,Tim Gullikson,United States,USA,false,1951-09-08,12,12,0,0,1,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,272-223,2113,1978-12-11,54.9%
192,Kim Warwick,Australia,AUS,false,1952-04-08,12,12,0,0,7,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,280-266,2040,1981-01-09,51.3%
199,Juan Aguilera,Spain,ESP,false,1962-03-22,11,11,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,146-141,2059,1990-05-14,50.9%
199,Andrei Pavel,Romania,ROU,false,1974-01-27,11,11,0,0,1,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,279-266,2061,2004-05-17,51.2%
199,Ramesh Krishnan,India,IND,false,1961-06-05,11,11,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,323-288,2032,1988-01-11,52.9%
199,Fabrice Santoro,France,FRA,false,1972-12-09,11,11,0,0,1,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,470-444,2052,2001-08-06,51.4%
199,Colin Dibley,Australia,AUS,false,1944-09-19,11,11,0,0,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,332-313,1984,1973-01-29,51.5%
199,Jurgen Melzer,Austria,AUT,false,1981-05-22,11,11,0,0,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,350-334,2110,2011-01-31,51.2%
199,Younes El Aynaoui,Morocco,MAR,false,1971-09-12,11,11,0,0,4,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,269-227,2095,2002-05-06,54.2%
199,Arnaud Clement,France,FRA,false,1977-12-17,11,11,0,0,6,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,316-327,2107,2001-02-16,49.1%
199,Mario Ancic,Croatia,CRO,false,1984-03-30,11,11,0,0,5,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,208-135,2133,2006-07-10,60.6%
199,Dick Crealy,Australia,AUS,false,1944-09-18,11,11,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,321-313,1989,1970-07-25,50.6%
199,Steve Denton,United States,USA,false,1956-09-05,11,11,0,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108-116,2093,1982-12-16,48.2%
210,Bill Bowrey,Australia,AUS,false,1943-12-25,10,10,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,99-109,2025,1968-04-01,47.6%
210,Jack Sock,United States,USA,true,1992-09-24,10,10,0,0,0,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,165-132,2144,2017-04-03,55.6%
210,Karen Khachanov,Russian Federation,RUS,true,1996-05-21,10,10,0,0,1,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,143-113,2137,2018-11-05,55.9%
210,Francisco Clavet,Spain,ESP,false,1968-10-24,10,10,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,388-340,2035,1999-05-10,53.3%
210,Ernests Gulbis,Latvia,LAT,true,1988-08-30,10,10,0,0,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,245-237,2167,2014-06-09,50.8%
210,Horst Skoff,Austria,AUT,false,1968-08-22,10,10,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,228-203,2054,1989-05-15,52.9%
210,Alexander Volkov,Russian Federation,RUS,false,1967-03-03,10,10,0,0,3,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,303-255,2073,1992-03-02,54.3%
210,Jay Berger,United States,USA,false,1966-11-26,10,10,0,0,2,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,141-80,2081,1989-09-11,63.8%
210,Wally Masur,Australia,AUS,false,1963-05-13,10,10,0,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,328-286,2054,1993-10-01,53.4%
210,Hank Pfister,United States,USA,false,1953-10-09,10,10,0,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,261-213,2060,1982-08-10,55.1%
220,Philipp Kohlschreiber,Germany,GER,true,1983-10-16,9,9,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,470-376,2117,2016-05-02,55.6%
220,Jordi Arrese,Spain,ESP,false,1964-08-29,9,9,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,224-210,2005,1991-11-04,51.6%
220,Pablo Cuevas,Uruguay,URU,true,1986-01-01,9,9,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,232-208,2004,2017-05-15,52.7%
220,Tim Wilkison,United States,USA,false,1959-11-23,9,9,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,294-297,2036,1986-09-09,49.7%
220,Jeff Borowiak,United States,USA,false,1949-09-25,9,9,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,282-298,2079,1977-08-23,48.6%
220,Paradorn Srichaphan,Thailand,THA,false,1979-06-14,9,9,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,248-193,2103,2003-01-06,56.2%
220,Jason Stoltenberg,Australia,AUS,false,1970-04-04,9,9,0,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,303-267,2068,1994-08-15,53.2%
220,Mark Woodforde,Australia,AUS,false,1965-09-23,9,9,0,0,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,319-312,2062,1993-04-02,50.6%
220,Alexandr Dolgopolov,Ukraine,UKR,false,1988-11-07,9,9,0,0,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,219-201,2057,2014-03-30,52.1%
220,Chris Lewis Nzl,New Zealand,NZL,false,1957-03-09,9,9,0,0,4,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,224-188,2000,1983-07-18,54.4%
220,Scott Davis,United States,USA,false,1962-08-27,9,9,0,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,206-198,2052,1985-04-29,51.0%
220,Borna Coric,Croatia,CRO,true,1996-11-14,9,9,0,0,1,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,165-142,2102,2019-03-04,53.7%
220,John Sadri,United States,USA,false,1956-09-19,9,9,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,215-190,2080,1981-01-26,53.1%
220,Max Mirnyi,Belarus,BLR,false,1977-07-06,9,9,0,0,1,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,244-242,2041,2001-10-29,50.2%
234,Chris Woodruff,United States,USA,false,1973-01-02,8,8,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,109-104,2010,1997-08-04,51.2%
234,John Fitzgerald,Australia,AUS,false,1960-12-28,8,8,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,241-232,2011,1984-03-26,51.0%
234,Martin Klizan,Slovakia,SVK,true,1989-07-11,8,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,147-153,1998,2018-09-24,49.0%
234,Paolo Bertolucci,Italy,ITA,false,1951-08-03,8,8,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,205-148,2052,1977-06-20,58.1%
234,Michael Llodra,France,FRA,false,1980-05-18,8,8,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,187-221,2012,2010-11-14,45.8%
234,Thierry Tulasne,France,FRA,false,1963-07-12,8,8,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,229-221,2067,1986-03-17,50.9%
234,Charlie Pasarell,United States,USA,false,1944-02-12,8,8,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,284-269,2065,1968-06-24,51.4%
234,Jan Siemerink,Netherlands,NED,false,1970-04-14,8,8,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,273-271,2064,1998-10-05,50.2%
234,Arnaud Boetsch,France,FRA,false,1969-04-01,8,8,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,231-203,2073,1993-11-08,53.2%
234,Mal Anderson,Australia,AUS,false,1935-03-03,8,8,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,84-52,2051,1973-01-08,61.8%
234,Mariano Puerta,Argentina,ARG,false,1978-09-19,8,8,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,128-118,2042,2000-07-24,52.0%
234,Mariano Zabaleta,Argentina,ARG,false,1978-02-28,8,8,0,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,202-213,2027,2003-08-18,48.7%
234,Peter Fleming,United States,USA,false,1955-01-21,8,8,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,224-214,2148,1979-10-01,51.1%
234,Slobodan Zivojinovic,Serbia,SRB,false,1963-07-23,8,8,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,155-141,2044,1988-07-04,52.4%
234,Todd Woodbridge,Australia,AUS,false,1971-04-02,8,8,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,244-236,2039,1997-02-24,50.8%
